class	property	type	description	accepted_types
Message	toRecipient	ContactPoint	A sub property of recipient. The recipient who was directly sent the message.	Person or Organization or ContactPoint or Audience
Message	toRecipient	Audience	A sub property of recipient. The recipient who was directly sent the message.	Person or Organization or ContactPoint or Audience
TransferAction	toLocation	Place	A sub property of location. The final location of the object or the agent after the action.	Place or Place or Place or Place
MoveAction	toLocation	Place	A sub property of location. The final location of the object or the agent after the action.	Place or Place or Place or Place
InsertAction	toLocation	Place	A sub property of location. The final location of the object or the agent after the action.	Place or Place or Place or Place
ExerciseAction	toLocation	Place	A sub property of location. The final location of the object or the agent after the action.	Place or Place or Place or Place
JobPosting	title	Text	The title of the job.	Text
CreativeWork	timeRequired	Duration	Approximate or typical time it takes to work with or through this learning resource for the typical intended target audience, e.g. 'P30M', 'P1H25M'.	Duration
Ticket	ticketedSeat	Seat	The seat associated with the ticket.	Seat
Ticket	ticketToken	URL	Reference to an asset (e.g., Barcode, QR code image or PDF) usable for entrance.	URL or Text
Ticket	ticketToken	Text	Reference to an asset (e.g., Barcode, QR code image or PDF) usable for entrance.	URL or Text
Ticket	ticketNumber	Text	The unique identifier for the ticket.	Text
Corporation	tickerSymbol	Text	The exchange traded instrument associated with a Corporation object. The tickerSymbol is expressed as an exchange and an instrument name separated by a space character. For the exchange component of the tickerSymbol attribute, we recommend using the controlled vocabulary of Market Identifier Codes (MIC) specified in ISO15022.	Text
CreativeWork	thumbnailUrl	URL	A thumbnail image relevant to the Thing.	URL
VideoObject	thumbnail	ImageObject	Thumbnail image for an image or video.	ImageObject or ImageObject
ImageObject	thumbnail	ImageObject	Thumbnail image for an image or video.	ImageObject or ImageObject
CreativeWork	text	Text	The textual content of this CreativeWork.	Text
CreativeWork	temporalCoverage	URL	"The temporalCoverage of a CreativeWork indicates the period that the content applies to, i.e. that it describes, either as a DateTime or as a textual string indicating a time period in [ISO 8601 time interval format](https://en.wikipedia.org/wiki/ISO_8601#Time_intervals). In
      the case of a Dataset it will typically indicate the relevant time period in a precise notation (e.g. for a 2011 census dataset, the year 2011 would be written ""2011/2012""). Other forms of content e.g. ScholarlyArticle, Book, TVSeries or TVEpisode may indicate their temporalCoverage in broader terms - textually or via well-known URL.
      Written works such as books may sometimes have precise temporal coverage too, e.g. a work set in 1939 - 1945 can be indicated in ISO 8601 interval format format via ""1939/1945""."	URL or Text or DateTime
CreativeWork	temporalCoverage	Text	"The temporalCoverage of a CreativeWork indicates the period that the content applies to, i.e. that it describes, either as a DateTime or as a textual string indicating a time period in [ISO 8601 time interval format](https://en.wikipedia.org/wiki/ISO_8601#Time_intervals). In
      the case of a Dataset it will typically indicate the relevant time period in a precise notation (e.g. for a 2011 census dataset, the year 2011 would be written ""2011/2012""). Other forms of content e.g. ScholarlyArticle, Book, TVSeries or TVEpisode may indicate their temporalCoverage in broader terms - textually or via well-known URL.
      Written works such as books may sometimes have precise temporal coverage too, e.g. a work set in 1939 - 1945 can be indicated in ISO 8601 interval format format via ""1939/1945""."	URL or Text or DateTime
CreativeWork	temporalCoverage	DateTime	"The temporalCoverage of a CreativeWork indicates the period that the content applies to, i.e. that it describes, either as a DateTime or as a textual string indicating a time period in [ISO 8601 time interval format](https://en.wikipedia.org/wiki/ISO_8601#Time_intervals). In
      the case of a Dataset it will typically indicate the relevant time period in a precise notation (e.g. for a 2011 census dataset, the year 2011 would be written ""2011/2012""). Other forms of content e.g. ScholarlyArticle, Book, TVSeries or TVEpisode may indicate their temporalCoverage in broader terms - textually or via well-known URL.
      Written works such as books may sometimes have precise temporal coverage too, e.g. a work set in 1939 - 1945 can be indicated in ISO 8601 interval format format via ""1939/1945""."	URL or Text or DateTime
Dataset	temporal	DateTime	The range of temporal applicability of a dataset, e.g. for a 2011 census dataset, the year 2011 (in ISO 8601 time interval format).	DateTime
Place	telephone	Text	The telephone number.	Text or Text or Text or Text
Person	telephone	Text	The telephone number.	Text or Text or Text or Text
Organization	telephone	Text	The telephone number.	Text or Text or Text or Text
ContactPoint	telephone	Text	The telephone number.	Text or Text or Text or Text
Person	taxID	Text	The Tax / Fiscal ID of the organization or person, e.g. the TIN in the US or the CIF/NIF in Spain.	Text or Text
Organization	taxID	Text	The Tax / Fiscal ID of the organization or person, e.g. the TIN in the US or the CIF/NIF in Spain.	Text or Text
AlignmentObject	targetUrl	URL	The URL of a node in an established educational framework.	URL
SoftwareSourceCode	targetProduct	SoftwareApplication	Target Operating System / Product to which the code applies.  If applies to several versions, just the product name can be used.	SoftwareApplication
APIReference	targetPlatform	Text	Type of app development: phone, Metro style, desktop, XBox, etc.	Text
AlignmentObject	targetName	Text	The name of a node in an established educational framework.	Text
AlignmentObject	targetDescription	Text	The description of a node in an established educational framework.	Text
UpdateAction	targetCollection	Thing	A sub property of object. The collection target of the action.	Thing
Action	target	EntryPoint	Indicates a target EntryPoint for an Action.	EntryPoint
VisualArtwork	surface	URL	A material used as a surface in some artwork, e.g. Canvas, Paper, Wood, Board, etc.	URL or Text
VisualArtwork	surface	Text	A material used as a surface in some artwork, e.g. Canvas, Paper, Wood, Board, etc.	URL or Text
SoftwareApplication	supportingData	DataFeed	Supporting data for a SoftwareApplication.	DataFeed
HowToDirection	supply	Text	A sub-property of instrument. A supply consumed when performing instructions or a direction.	Text or HowToSupply or Text or HowToSupply
HowToDirection	supply	HowToSupply	A sub-property of instrument. A supply consumed when performing instructions or a direction.	Text or HowToSupply or Text or HowToSupply
HowTo	supply	Text	A sub-property of instrument. A supply consumed when performing instructions or a direction.	Text or HowToSupply or Text or HowToSupply
HowTo	supply	HowToSupply	A sub-property of instrument. A supply consumed when performing instructions or a direction.	Text or HowToSupply or Text or HowToSupply
Event	superEvent	Event	An event that this event is a part of. For example, a collection of individual music performances might each have a music festival as their superEvent.	Event
Recipe	suitableForDiet	RestrictedDiet	Indicates a dietary restriction or guideline for which this recipe or menu item is suitable, e.g. diabetic, halal etc.	RestrictedDiet or RestrictedDiet
MenuItem	suitableForDiet	RestrictedDiet	Indicates a dietary restriction or guideline for which this recipe or menu item is suitable, e.g. diabetic, halal etc.	RestrictedDiet or RestrictedDiet
PeopleAudience	suggestedMinAge	Number	Minimal age recommended for viewing content.	Number
PeopleAudience	suggestedMaxAge	Number	Maximal age recommended for viewing content.	Number
PeopleAudience	suggestedGender	Text	The gender of the person or audience.	Text
Question	suggestedAnswer	ItemList	An answer (possibly one of several, possibly incorrect) to a Question, e.g. on a Question/Answer site.	ItemList or Answer
Question	suggestedAnswer	Answer	An answer (possibly one of several, possibly incorrect) to a Question, e.g. on a Question/Answer site.	ItemList or Answer
NutritionInformation	sugarContent	Mass	The number of grams of sugar.	Mass
ProductModel	successorOf	ProductModel	A pointer from a newer variant of a product  to its previous, often discontinued predecessor.	ProductModel
TVEpisode	subtitleLanguage	Text	Languages in which subtitles/captions are available, in [IETF BCP 47 standard format](http://tools.ietf.org/html/bcp47).	Text or Language or Text or Language or Text or Language
TVEpisode	subtitleLanguage	Language	Languages in which subtitles/captions are available, in [IETF BCP 47 standard format](http://tools.ietf.org/html/bcp47).	Text or Language or Text or Language or Text or Language
